mode,level,seed,skin,system,lam,burden,ndcg
mask,0.0,0,Oily,oracle,0.4,3.0,0.7819835854675755
mask,0.0,0,Oily,oracle,0.6,3.0,0.7819835854675755
mask,0.0,0,Oily,oracle,0.9,3.0,0.7819835854675755
mask,0.0,0,Oily,oracle,1.3,3.0,0.7819835854675755
mask,0.0,0,Oily,oracle,2.0,3.0,0.7819835854675755
mask,0.0,0,Oily,rule,0.0,9.0,0.7877736340270853
mask,0.0,0,Oily,rule,0.2,3.1,0.7183627972686238
mask,0.0,0,Oily,rule,0.4,3.0,0.7819835854675755
mask,0.0,0,Oily,rule,0.6,3.0,0.7819835854675755
mask,0.0,0,Oily,rule,0.9,3.0,0.7819835854675755
mask,0.0,0,Oily,rule,1.3,3.0,0.7819835854675755
mask,0.0,0,Oily,rule,2.0,3.0,0.7819835854675755
mask,0.0,0,Oily,learned,0.0,9.0,0.7877736340270853
mask,0.0,0,Oily,learned,0.2,3.4,0.6141069626790936
mask,0.0,0,Oily,learned,0.4,3.4,0.6141069626790936
mask,0.0,0,Oily,learned,0.6,3.4,0.6293644814585829
mask,0.0,0,Oily,learned,0.9,3.4,0.6293644814585829
mask,0.0,0,Oily,learned,1.3,3.4,0.6581810421830974
mask,0.0,0,Oily,learned,2.0,3.4,0.6531466953037821
mask,0.0,0,Oily,hybrid,0.0,9.0,0.7877736340270853
mask,0.0,0,Oily,hybrid,0.2,3.3,0.84860265890399
mask,0.0,0,Oily,hybrid,0.4,3.3,0.78180487222265
mask,0.0,0,Oily,hybrid,0.6,3.3,0.7721596254947203
mask,0.0,0,Oily,hybrid,0.9,3.3,0.7695261902392829
mask,0.0,0,Oily,hybrid,1.3,3.2,0.7753366239771086
mask,0.0,0,Oily,hybrid,2.0,3.2,0.7600791051976192
mask,0.0,0,Sensitive,oracle,0.0,11.1,0.9305687780632227
mask,0.0,0,Sensitive,oracle,0.2,3.8,0.9266360779006398
mask,0.0,0,Sensitive,oracle,0.4,3.4,0.8701249883466594
mask,0.0,0,Sensitive,oracle,0.6,3.2,0.866947989864271
mask,0.0,0,Sensitive,oracle,0.9,3.2,0.8603818544462509
mask,0.0,0,Sensitive,oracle,1.3,3.2,0.8572048559638626
mask,0.0,0,Sensitive,oracle,2.0,3.2,0.8572048559638626
mask,0.0,0,Sensitive,rule,0.0,11.1,0.9305687780632227
mask,0.0,0,Sensitive,rule,0.2,3.8,0.9266360779006398
mask,0.0,0,Sensitive,rule,0.4,3.4,0.8701249883466594
mask,0.0,0,Sensitive,rule,0.6,3.2,0.866947989864271
mask,0.0,0,Sensitive,rule,0.9,3.2,0.8603818544462509
mask,0.0,0,Sensitive,rule,1.3,3.2,0.8572048559638626
mask,0.0,0,Sensitive,rule,2.0,3.2,0.8572048559638626
mask,0.0,0,Sensitive,learned,0.0,11.1,0.9305687780632227
mask,0.0,0,Sensitive,learned,0.2,4.7,0.9363792118010483
mask,0.0,0,Sensitive,learned,0.4,4.7,0.9363792118010483
mask,0.0,0,Sensitive,learned,0.6,4.3,0.933745776545611
mask,0.0,0,Sensitive,learned,0.9,3.8,0.933745776545611
mask,0.0,0,Sensitive,learned,1.3,3.8,0.9216017310213245
mask,0.0,0,Sensitive,learned,2.0,3.8,0.9216017310213245
mask,0.0,0,Sensitive,hybrid,0.0,11.1,0.9305687780632227
mask,0.0,0,Sensitive,hybrid,0.2,4.2,0.933745776545611
mask,0.0,0,Sensitive,hybrid,0.4,3.6,0.9266360779006398
mask,0.0,0,Sensitive,hybrid,0.6,3.6,0.9266360779006398
mask,0.0,0,Sensitive,hybrid,0.9,3.4,0.914856882358379
mask,0.0,0,Sensitive,hybrid,1.3,3.4,0.9052116356304493
mask,0.0,0,Sensitive,hybrid,2.0,3.3,0.9052116356304493
mask,0.0,1,Combination,oracle,0.0,10.5,0.8899541168509599
mask,0.0,1,Combination,oracle,0.2,3.0,0.9363792118010483
mask,0.0,1,Combination,oracle,0.4,3.0,0.9363792118010483
mask,0.0,1,Combination,oracle,0.6,3.0,0.9363792118010483
mask,0.0,1,Combination,oracle,0.9,3.0,0.9363792118010483
mask,0.0,1,Combination,oracle,1.3,3.0,0.9363792118010483
mask,0.0,1,Combination,oracle,2.0,3.0,0.9363792118010483
mask,0.0,1,Combination,rule,0.0,10.5,0.8899541168509599
mask,0.0,1,Combination,rule,0.2,3.0,0.9363792118010483
mask,0.0,1,Combination,rule,0.4,3.0,0.9363792118010483
mask,0.0,1,Combination,rule,0.6,3.0,0.9363792118010483
mask,0.0,1,Combination,rule,0.9,3.0,0.9363792118010483
mask,0.0,1,Combination,rule,1.3,3.0,0.9363792118010483
mask,0.0,1,Combination,rule,2.0,3.0,0.9363792118010483
