skin,gamma,L1,L2,L3
Combination,0.1,1.8520506783509298,1.4783858641824132,0.6819005454444605
Combination,0.3,1.6822180678994028,0.746792209509382,0.18685822555988926
Combination,0.5,1.3434202688316452,0.0,0.7220668858188449
Combination,1.0,0.8566772909524585,0.0,0.6963386193738464
Combination,2.0,0.14093630784300443,0.0,1.0514097518198555
Combination,4.0,0.1232798720712496,0.0,0.0
Combination,0.1,2.150854322520766,1.6342145546568327,1.2472992997544778
Combination,0.3,2.0702337331671297,1.4453802753089635,1.4800107784541259
Combination,0.5,1.9751515565366886,1.2091111535949333,1.6286927956352188
Combination,1.0,1.5900360465154348,0.518175621054172,1.8129935386192715
Combination,2.0,0.6931057015673112,0.0693224482090369,2.076178780375388
Combination,4.0,0.19843097405308827,0.0,2.5102046151154496
Combination,0.1,1.8476042182200567,1.5929454090931983,0.5859282408176432
Combination,0.3,1.8224215352988091,1.0041650450416575,0.0
Combination,0.5,1.5123724922821682,0.10370968423927664,0.5837270672066188
Combination,1.0,1.5233343967995567,0.0,0.16314510699082746
Combination,2.0,1.6633020000360734,0.0,0.0
Combination,4.0,1.57298882017448,0.0,0.0
Combination,0.1,2.25637564832868,1.1316216148195621,0.4019166214069412
Combination,0.3,2.4148347237107552,0.9947019559374487,0.0
Combination,0.5,2.530340359176832,0.8704896495080212,0.0
Combination,1.0,2.6410785083268014,0.42026802286619924,0.0
Combination,2.0,2.6647917052898014,0.005814629504580415,0.0
Combination,4.0,3.0303261914764383,0.0,0.0
Combination,0.1,2.23503904361156,1.5527052573831368,0.028319825221954465
Combination,0.3,2.317491890725338,1.3605255729239107,0.0
Combination,0.5,2.3505517094373793,1.0791724363539286,0.0
Combination,1.0,2.2901657065459995,0.1715398989961882,0.0
Combination,2.0,2.545358971759152,0.0,0.0
Combination,4.0,2.9366665294131598,0.0,0.0
Combination,0.1,2.0081698756793678,1.5241147251757086,0.44915438191254287
Combination,0.3,1.7820549400038468,0.6539337368774408,0.2883262326562263
Combination,0.5,1.543578888572162,0.0,0.7314285032381851
Combination,1.0,1.5828794566212003,0.0,0.9478570739652593
Combination,2.0,1.6325385982708662,0.0,1.233067689994534
Combination,4.0,1.7025158307749362,0.0,1.5486745647987146
Combination,0.1,1.9818859733612322,1.1752229030937724,0.027868986609824845
Combination,0.3,1.9849275418574084,1.0476217127895173,0.0
Combination,0.5,1.9745232457173685,0.9147362966004626,0.0
Combination,1.0,1.9178688199069736,0.5460810862227493,0.0
Combination,2.0,1.6776834662024513,0.20261978948051104,0.0
Combination,4.0,0.20236117662417552,0.15595018865666097,0.0
Combination,0.1,2.000882177899319,1.4085674691589665,0.8110926583944349
Combination,0.3,1.9429378859615283,1.1614184997967976,0.18698501562783953
Combination,0.5,1.8800120654009755,0.6187566738100648,0.0
Combination,1.0,1.782303549578,0.0,0.0
Combination,2.0,1.3622542362512882,0.0,0.0
Combination,4.0,0.37268290858360165,0.0,0.0
Combination,0.1,1.9583861745066273,1.1894092419231184,0.28886586133694075
Combination,0.3,2.029853488596996,1.1119729965352851,0.0
Combination,0.5,2.077798330466264,1.050423744469007,0.0
Combination,1.0,2.1756038360692247,0.8950103018069786,0.0
Combination,2.0,2.324845438416641,0.6324005115405348,0.0
Combination,4.0,2.4809359497273817,0.4442535355149952,0.0
Combination,0.1,2.1327025030624926,1.3465549798502634,0.876536415699116
Combination,0.3,2.239908027368182,1.313365430010939,0.32557951645413546
Combination,0.5,2.391008898365587,1.2759796809239032,0.0
Combination,1.0,2.463297160633169,1.2394060485688811,0.0
Combination,2.0,0.43690375621763794,0.0,1.8278074579004497
Combination,4.0,0.07140239893632273,0.0,2.5094242605469024
Combination,0.1,2.1713198486645386,1.469928093476575,0.8639506645065227
Combination,0.3,2.1254057905203934,1.0930004041047834,0.6201770122418673
Combination,0.5,1.959389416279479,0.4186678933159943,0.5785072849886224
Combination,1.0,1.9794653904932267,0.0,0.32431380284125383
Combination,2.0,2.4645782909232006,0.0,0.0
Combination,4.0,0.36092608078953237,0.0,0.0
Combination,0.1,2.2347734328185265,1.8135486836310808,0.9943768953915522
Combination,0.3,2.212116229170106,1.8770054611491573,1.001917932321824
Combination,0.5,2.1837954668751154,1.9276122250282113,1.0136811780886106
Combination,1.0,2.035363206005988,1.9594164770786442,1.0569564938834883
Combination,2.0,0.3614154446977797,0.0,1.8148479431620599
Combination,4.0,0.042698700264983014,0.0,2.292646883740564
Combination,0.1,2.1546032912386033,1.6026851452881892,1.0175843561398594
Combination,0.3,2.3207557675400037,1.3836361866767035,0.23849825787290785
Combination,0.5,2.3772885143391758,1.0568563175929422,0.0
Combination,1.0,2.257914464647795,0.0,0.0
Combination,2.0,2.418181212026719,0.0,0.0
Combination,4.0,0.0,0.0,0.0
Combination,0.1,1.937269543600805,1.3749762667030208,0.1560250701637258
Combination,0.3,1.9578460343340163,0.7517431844690278,0.0
Combination,0.5,1.922465122202787,0.24459568884381416,0.0
Combination,1.0,2.0317382942336337,0.0,0.0
Combination,2.0,2.226907334575907,0.0,0.0
Combination,4.0,2.474316008893118,0.0,0.0
Combination,0.1,2.142650871479489,1.1887549635906138,0.5763151632553397
Combination,0.3,2.1974117035080116,0.7112200935537994,0.0
Combination,0.5,2.046407446360466,0.1520019051977925,0.0
Combination,1.0,2.0934970864611353,0.0,0.0
Combination,2.0,2.30225095977775,0.0,0.0
Combination,4.0,2.5950182195151528,0.0,0.0
Dry,0.1,1.9300408713093424,1.1322367312970931,1.073640892306695
Dry,0.3,2.0101974997529166,0.9403616115786028,0.6411825127086221
Dry,0.5,2.0950792695847014,0.6248924975703041,0.0
Dry,1.0,2.1213133279680747,0.0,0.0
Dry,2.0,1.9601404396597029,0.0,0.0
Dry,4.0,0.48819611774841876,0.0,0.0
Dry,0.1,2.155927967534233,1.2845701464910535,0.2661342054589874
Dry,0.3,2.2453496393466947,1.2435115671909605,0.0
Dry,0.5,2.295959537996603,1.205939356509495,0.0
Dry,1.0,2.402420686605212,1.0981381844751237,0.0
Dry,2.0,2.482463189433248,0.7197175977289174,0.0
Dry,4.0,2.592289925808118,0.0,0.0
Dry,0.1,1.9866714116299702,1.1956696945609846,0.518921130786538
Dry,0.3,2.1136098582690024,1.1920372341586472,0.0376015885165812
Dry,0.5,2.2290932038657156,1.2224274314568493,0.0
Dry,1.0,2.4775883195454886,1.3176199263265858,0.0
Dry,2.0,2.8547202933243745,1.5033241571348095,0.0
